k,n,odd_coefficient_count
2,0,1
2,1,2
2,2,4
2,3,6
2,4,8
2,5,12
2,6,20
2,7,32
2,8,48
2,9,72
2,10,112
2,11,176
2,12,272
2,13,416
2,14,640
2,15,992
2,16,1536
2,17,2368
2,18,3648
2,19,5632
2,20,8704
2,21,13440
2,22,20736
2,23,32000
2,24,49408
2,25,76288
2,26,117760
2,27,181760
2,28,280576
2,29,433152
2,30,668672
2,31,1032192
2,32,1593344
2,33,2459648
2,34,3796992
2,35,5861376
2,36,9048064
2,37,13967360
2,38,21561344
2,39,33284096
2,40,51380224
2,41,79314944
2,42,122437632
2,43,189005824
2,44,291766272
2,45,450396160
2,46,695271424
2,47,1073283072
2,48,1656815616
2,49,2557607936
2,50,3948150784
2,51,6094716928
2,52,9408348160
2,53,14523564032
2,54,22419865600
2,55,34609299456
2,56,53425995776
2,57,82473123840
2,58,127312855040
2,59,196531453952
2,60,303383445504
2,61,468329693184
2,62,722955403264
2,63,1116018311168
2,64,1722785202176
2,65,2659444588544
2,66,4105355395072
2,67,6337392017408
2,68,9782962421760
2,69,15101851598848
2,70,23312562388992
2,71,35987346423808
2,72,55553271267328
2,73,85756974465024
2,74,132382099243008
2,75,204356792090624
2,76,315463334625280
2,77,486977283555328
2,78,751741482041344
2,79,1160455066222592
2,80,1791381735473152
2,81,2765336302583808
2,82,4268819266666496
2,83,6589729399111680
2,84,10172492870057984
2,85,15703165475225600
2,86,24240804008558592
2,87,37420262806781952
2,88,57765248546897920
2,89,89171579497349120
2,90,137653187514466304
2,91,212493713128030208
2,92,328024210221826048
2,93,506367369216524288
2,94,781673744245456896
2,95,1206661170501517312
2,96,1862709590945169408
2,97,2875444329378217984
2,98,4438791817869131776
2,99,6852114158872166400
2,100,10577533340762505216
2,101,16328421999518941184
2,102,25206005635257204736
2,103,38910233953001537536
2,104,60065300634526547968
2,105,92722144633564430336
2,106,143134155904078839808
2,107,220954623810081914880
2,108,341085225079135010816
2,109,526529514346263871488
2,110,812797826154421551104
2,111,1254707073774585380864
2,112,1936877523932855402496
2,113,2989936552625383145472
2,114,4615532204934226247680
2,115,7124946352483397009408
2,116,10998701400349107814400
2,117,16978574505599874105344
2,118,26209638915468326600704
2,119,40459531620435120619520
2,120,62456934421133336248320
2,121,96414083432333084459008
2,122,148833361263269737660416
2,123,229752424504139978899456
2,124,354666293346406651396096
2,125,547494460211072820314112
2,126,845161182737612295634944
2,127,1304666031745892253433856
2,128,2013998618438705556226048
2,129,3108987538860851196854272
2,130,4799309904336075788124160
2,131,7408641967827860294991872
2,132,11436639204705271407443968
2,133,17654614282426973801152512
2,134,27253234091099125377400832
2,135,42070518026754845967384576
2,136,64943796436165388782272512
2,137,100253025001019336384577536
2,138,154759493183217587139379200
2,139,238900529236727279074148352
2,140,368788122109058056638693376
2,141,569294172111096729407848448
2,142,878813158477531903686606848
2,143,1356614216950986461834903552
2,144,2094190461169102575112290304
2,145,3232778805391296033927987200
2,146,4990405122346359841301200896
2,147,7703633556248332764971008000
2,148,11892014478586537915195588608
2,149,18357572089369129983051563008
2,150,28338382334061849665653964800
2,151,43745649446558515195595980800
2,152,67529678403731591025987158016
2,153,104244822582469850992090284032
2,154,160921587250593550323398213632
2,155,248412886143710580714590175232
2,156,383472242951173762766564491264
2,157,591961888116113464750745059328
2,158,913805062617300565397541486592
2,159,1410630834904721726826721837056
2,160,2177575320807069252359850819584
2,161,3361499097039296181861340938240
2,162,5189109222273897312656423911424
2,163,8010370892083340766309867585536
2,164,12365521533697479271029569224704
2,165,19088519727776071634752251101184
2,166,29466738172323866260065098924032
2,167,45487479956490547792684834095104
2,168,70218523023885506334743972544512
2,169,108395562479437649604248474746880
2,170,167329038824085382124378672594944
2,171,258303998737066477709748340785152
2,172,398741044784837490379236285874176
2,173,615532169743712789587733235367936
2,174,950190247391883553836490580557824
2,175,1466798244866016509255987262128128
2,176,2264280334435691490014459833876480
2,177,3495344673923117069189926304612352
2,178,5395725168706884176862907465728000
2,179,8329321658438917195374881989984256
2,180,12857882327310300175403801657737216
2,181,19848571675156534313783654266961920
2,182,30640022012570302667509469198417920
2,183,47298665329448137058259233178386432
2,184,73014429984068737409066836493860864
2,185,112711573334381806036634145027784704
2,186,173991617359522411371653083424620544
2,187,268588948018418685488171549781393408
2,188,414617807986556160306305222769115136
2,189,640040954655319772379573512824684544
2,190,988024189374364595122879679673925632
2,191,1525202085411201966099222779236712448
2,192,2354437701384314286711833224774942720
2,193,3634519610694953831470980250424311808
2,194,5610567989443683021716739609772163072
2,195,8660972160266086953915185168245587968
2,196,13369847563034715527338851617795473408
2,197,20638886784424623190280812118644097024
2,198,31860022763311989233714291338188423168
2,199,49181967083844163141544661674679599104
2,200,75921662209913594196222364910270545920
3,0,1
3,1,2
3,2,4
3,3,8
3,4,14
3,5,24
3,6,40
3,7,68
3,8,116
3,9,200
3,10,344
3,11,592
3,12,1016
3,13,1744
3,14,2992
3,15,5136
3,16,8816
3,17,15136
3,18,25984
3,19,44608
3,20,76576
3,21,131456
3,22,225664
3,23,387392
3,24,665024
3,25,1141632
3,26,1959808
3,27,3364352
3,28,5775488
3,29,9914624
3,30,17020160
3,31,29218048
3,32,50157824
3,33,86104576
3,34,147813376
3,35,253747200
3,36,435600896
3,37,747784192
3,38,1283700736
3,39,2203694080
3,40,3783021568
3,41,6494210048
3,42,11148433408
3,43,19138211840
3,44,32854046720
3,45,56399646720
3,46,96819736576
3,47,166207803392
3,48,285324406784
3,49,489808633856
3,50,840841134080
3,51,1443449061376
3,52,2477929668608
3,53,4253794336768
3,54,7302372818944
3,55,12535784423424
3,56,21519839510528
3,57,36942522056704
3,58,63418220904448
3,59,108868331634688
3,60,186891298177024
3,61,320831198658560
3,62,550762175856640
3,63,945478418628608
3,64,1623077036294144
3,65,2786292118192128
3,66,4783151750840320
3,67,8211106266349568
3,68,14095782368903168
3,69,24197845472509952
3,70,41539781914001408
3,71,71310211622895616
3,72,122416297038577664
3,73,210148721194172416
3,74,360756582970556416
3,75,619300995109748736
3,76,1063137141908307968
3,77,1825058560263847936
3,78,3133028296249311232
3,79,5378384298901504000
3,80,9232925761091928064
3,81,15849912050212929536
3,82,27209112095121473536
3,83,46709141265862098944
3,84,80184309953482194944
3,85,137650219817147301888
3,86,236300381292813352960
3,87,405650425210386513920
3,88,696369030693442813952
3,89,1195437738435553525760
3,90,2052175389035960729600
3,91,3522913567105808859136
3,92,6047689718727396294656
3,93,10381904136253978181632
3,94,17822331916368260104192
3,95,30595111529493345337344
3,96,52521794223933526900736
3,97,90162732887638489956352
3,98,154779906549026809446400
3,99,265706447709173255766016
3,100,456131018090936585420800
3,101,783027688859096531861504
3,102,1344202295397900171083776
3,103,2307555450032273682857984
3,104,3961317558528227472834560
3,105,6800285903978847667224576
3,106,11673865498688948310900736
3,107,20040206780385989041848320
3,108,34402476869870737694916608
3,109,59057794550321274102480896
3,110,101382906537248466743066624
3,111,174041272895527436179996672
3,112,298771910430153799544864768
3,113,512893596886453213808558080
3,114,880470461056348488743256064
3,115,1511479647043444250756775936
3,116,2594715921174289672986165248
3,117,4454278114008788796102934528
3,118,7646537856043386068178829312
3,119,13126603163825081291898880000
3,120,22534081941981164337564221440
3,121,38683644399893134130976653312
3,122,66407158184222877814513205248
3,123,113999358812133589537695727616
3,124,195699592708443239488566591488
3,125,335952157848226991610060079104
3,126,576719914440632559773755113472
3,127,990039361088645819645768499200
3,128,1699573591897724135048550023168
3,129,2917611670610637133769709977600
3,130,5008584447925247747795393183744
3,131,8598100434232338864785223319552
3,132,14760124711038851732128126730240
3,133,25338303867448482236204887048192
3,134,43497575762282782238430113824768
3,135,74671102970952538742174420828160
3,136,128185847629085816476195321020416
3,137,220053151468503032947940188487680
3,138,377759248519666552888391762968576
3,139,648489007723066550308741725552640
3,140,1113243407767298667673993716170752
3,141,1911074621432270295467084283379712
3,142,3280689724457740596093468641591296
3,143,5631870648827016957456433301946368
3,144,9668078870324090659326685469474816
3,145,16596927534597240717400602222526464
3,146,28491493220455928712075275124342784
3,147,48910569997917710020410045913628672
3,148,83963442667289119924672258321154048
3,149,144137753962860863859995170838675456
3,150,247437354370798165103320800098779136
3,151,424768963402853510398117175382507520
3,152,729189304214563532925588525729972224
3,153,1251779407613252463364525792939737088
3,154,2148895597162394236139458835312017408
3,155,3688950512701368427223974969929105408
3,156,6332720818605358993570075405438681088
3,157,10871209258112434441590284726132801536
3,158,18662308685146920501011537183031427072
3,159,32037076758485859869330873495043702784
3,160,54997176637957568842621328348699164672
3,161,94412154421846165566400151783601078272
3,162,162074772697014452396161630943177605120
3,163,278229345635085486845742352179044286464
3,164,477628735702393780243927057488284745728
3,165,819932234854450986828331156657416437760
3,166,1407555323832759904757500870843099512832
3,167,2416311867530903222718632331067718107136
3,168,4148016736757692032268456463797172830208
3,169,7120787295558766228678573499222979510272
3,170,12224061503721245821434884077996721831936
3,171,20984713268988914023770119890534534217728
3,172,36023885420375679654720005710217455075328
3,173,61841222424426400123927390262887425507328
3,174,106161141318317463843184308900699226243072
3,175,182243938333861396424468846162032610770944
3,176,312853202659621351910522923218725280677888
3,177,537066567531460576382532009161826959884288
3,178,921967541031833287602494943800987150712832
3,179,1582716553412146664232881733488588961611776
3,180,2717006377080614879521745295090974564810752
3,181,4664210807160484336603564720903628747964416
3,182,8006923589560341919946355862432053874130944
3,183,13745267531783747409314984601659336541863936
3,184,23596126203407755904466330351693364717420544
3,185,40506826842015796642247078420329879182508032
3,186,69536965799584782305756899362205193029550080
3,187,119372214255921547621211107224342329707986944
3,188,204923027234627013766860718311411630485798912
3,189,351785776554116056206701794739072633277513728
3,190,603901056195558581782495173753870993198153728
3,191,1036700486433706231273691125333603384840683520
3,192,1779675474228434377667700097811884764097937408
3,193,3055120389173983704183813437594172808354594816
3,194,5244641917871672109385234972028880833424130048
3,195,9003333860153887925982451999101198908333752320
3,196,15455777890416677198932677318637821728154189824
3,197,26532512723437977587462511568406227406169309184
3,198,45547641562311523541730589082667818662519373824
3,199,78190395064097468537560727526262391685397872640
3,200,134227320462152336298061786552987972014765506560
4,0,1
4,1,2
4,2,4
4,3,8
4,4,16
4,5,30
4,6,56
4,7,104
4,8,192
4,9,356
4,10,660
4,11,1224
4,12,2272
4,13,4216
4,14,7824
4,15,14520
4,16,26944
4,17,50000
4,18,92784
4,19,172176
4,20,319504
4,21,592896
4,22,1100224
4,23,2041664
4,24,3788672
4,25,7030560
4,26,13046464
4,27,24210048
4,28,44926080
4,29,83368384
4,30,154704960
4,31,287082752
4,32,532733440
4,33,988582272
4,34,1834491392
4,35,3404227200
4,36,6317153024
4,37,11722608384
4,38,21753398528
4,39,40367325440
4,40,74908799232
4,41,139006687744
4,42,257951795200
4,43,478675736576
4,44,888268525568
4,45,1648341274112
4,46,3058792333312
4,47,5676136783872
4,48,10533087989760
4,49,19546030482432
4,50,36271158846464
4,51,67307628791808
4,52,124901355171840
4,53,231776825358336
4,54,430103393988608
4,55,798133848086528
4,56,1481080243412992
4,57,2748409546452992
4,58,5100165955645440
4,59,9464271003095040
4,60,17562649215537152
4,61,32590639824994304
4,62,60477766831603712
4,63,112227323568308224
4,64,208257890711732224
4,65,386459800204550144
4,66,717145346395881472
4,67,1330791579318353920
4,68,2469522024349859840
4,69,4582640229714083840
4,70,8503909367045505024
4,71,15780526268246065152
4,72,29283591646429118464
4,73,54340946882129788928
4,74,100839355489596735488
4,75,187125477176792350720
4,76,347244823597218594816
4,77,644374936723035848704
4,78,1195753056231137804288
4,79,2218933869087884378112
4,80,4117629045334916268032
4,81,7640997864418198028288
4,82,14179239489820192145408
4,83,26312117353926891143168
4,84,48826844355359718506496
4,85,90606951072552873492480
4,86,168137418894301758750720
4,87,312009082060390119505920
4,88,578988710117914584285184
4,89,1074417206801442858598400
4,90,1993773477959387946680320
4,91,3699803629586599171850240
4,92,6865648003058149414141952
4,93,12740439012749242279657472
4,94,23642165483182594383151104
4,95,43872270663110766315962368
4,96,81412852579278432147341312
4,97,151076123139174678563651584
4,98,280348793337482652920315904
4,99,520237376315108961975009280
4,100,965393588797882592287260672
4,101,1791460636475972691741900800
4,102,3324375932555329434770472960
4,103,6168974699155406251431559168
4,104,11447636973345265242238615552
4,105,21243139851334350285567950848
4,106,39420449110509987085078757376
4,107,73151700687819820536835342336
4,108,135746076827259923092056571904
4,109,251901147898541676097454473216
4,110,467447677278732078595887333376
4,111,867432851402844490288261496832
4,112,1609676950526808775466080534528
4,113,2987043758911054044921365266432
4,114,5542994459061727284845864812544
4,115,10286018569875229746306981298176
4,116,19087548941502530922258324520960
4,117,35420364266236571305606079578112
4,118,65728827132171796131363160064000
4,119,121971606042716587339804087156736
4,120,226340151342178572327705487867904
4,121,420014672034889063888715465621504
4,122,779412418337907678125916770271232
4,123,1446339278854725773834951686356992
4,124,2683941467110527577694100571291648
